CNPJ Entidade	Nome Entidade	N˙mero ConvÍnio	”rg„o Concedente	Motivo Impedimento
07876282000134	INSTITUTO TECNICO DE ESTUDOS AGRARIOS E COOPERATIVISMO	638527	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07876282000134	INSTITUTO TECNICO DE ESTUDOS AGRARIOS E COOPERATIVISMO	702105	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
07877116000152	ASSOCIACAO POTIGUAR PELA LIVRE ORIENTACAO SEXUAL	601266	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07877116000152	ASSOCIACAO POTIGUAR PELA LIVRE ORIENTACAO SEXUAL	611163	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07877116000152	ASSOCIACAO POTIGUAR PELA LIVRE ORIENTACAO SEXUAL	617339	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07877547000119	PROJEMAXI - PROJETOS, EVENTOS E DESENVOLVIMENTO	732058	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07877547000119	PROJEMAXI - PROJETOS, EVENTOS E DESENVOLVIMENTO	732170	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07877547000119	PROJEMAXI - PROJETOS, EVENTOS E DESENVOLVIMENTO	732171	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07877547000119	PROJEMAXI - PROJETOS, EVENTOS E DESENVOLVIMENTO	732399	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07879881000101	ASSOCIACAO REGIONAL DE COOPERACAO AGRICOLA DA REFORMA A	593975	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07884355000130	ASSOCIACAO COMUNITARIA PARA O DESENVOLVIMENTO SOCIAL DE	579980	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
07902898000132	CONGREGACAO ESPIRITA UMBANDISTA DO BRASIL - C.E.U.B.	704803	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
07902898000132	CONGREGACAO ESPIRITA UMBANDISTA DO BRASIL - C.E.U.B.	744509	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
07905441000181	FEDERACAO CEARENSE DE VOLEIBOL	455361	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07923741000193	SOCIEDADE DOS AMIGOS DA PAROQUIA DE ITAICABA	702859	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07925420000128	COORDENACAO DAS COMUNIDADES NEGRAS RURAIS QUILOMBOLAS D	728076	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
07925420000128	COORDENACAO DAS COMUNIDADES NEGRAS RURAIS QUILOMBOLAS D	736409	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
07950743000171	ASSOCIACAO CULTURAL ASPIRAL DO REGGAE	750189	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
07969138000142	INSTITUTO NACIONAL DE DESENVOLVIMENTO HUMANO	806573	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
07969138000142	INSTITUTO NACIONAL DE DESENVOLVIMENTO HUMANO	819163	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
07987592000126	ILE ASE ODE ONISEGUM	703548	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
07987592000126	ILE ASE ODE ONISEGUM	753947	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
07989147000103	ASSOCIACAO NACIONAL DE DESENVOLVIMENTO HUMANO E SOCIAL	748891	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	MOTIVO N√O ESPECIFICADO
08012439000146	CENTRO CULTURAL JAMES KULISZ	720356	MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA	MOTIVO N√O ESPECIFICADO
08014673000102	ASSOCIACAO AMIGOS NA CULTURA - ANAC	775965	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
08014673000102	ASSOCIACAO AMIGOS NA CULTURA - ANAC	786921	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
08017068000195	HIPNOS COMPANHIA DAS ARTES	736822	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
08017068000195	HIPNOS COMPANHIA DAS ARTES	750195	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
08017068000195	HIPNOS COMPANHIA DAS ARTES	750419	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
08033219000107	FEDERACAO CARNAVALESCA DE PERNAMBUCO	742138	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
08033219000107	FEDERACAO CARNAVALESCA DE PERNAMBUCO	742224	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
08033219000107	FEDERACAO CARNAVALESCA DE PERNAMBUCO	743532	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
08033219000107	FEDERACAO CARNAVALESCA DE PERNAMBUCO	743550	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
08036029000135	FONTE DE ESTUDOS, PESQUISAS E PROJETOS AMBIENTAIS - FEP	561059	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
08060774000209	SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO RN	375271	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECU«√O
08061002000100	ASSOCIACAO DE GAYS, LESBICAS, BISSEXUAIS E TRANSGENEROS	564844	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
08070120000177	ASSOCIACAO DE MANUTENCAO A MAT E PROT A INFANCIA CAICO	108955	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
